code,name,narrow_foe
061711,Massage Therapy,0617
061713,Podiatry,0617
061799,"Rehabilitation Therapies, n.e.c.",0617
061901,Naturopathy,0619
061903,Acupuncture,0619
061905,Traditional Chinese Medicine,0619
061999,"Complementary Therapies, n.e.c.",0619
069901,Nutrition and Dietetics,0699
069903,Human Movement,0699
069905,Paramedical Studies,0699
069907,First Aid,0699
069999,"Health, n.e.c.",0699
070101,Teacher Education: Early Childhood,0701
070103,Teacher Education: Primary,0701
070105,Teacher Education: Secondary,0701
070107,Teacher-Librarianship,0701
070109,Teacher Education: Vocational Education and Training,0701
070111,Teacher Education: Higher Education,0701
070113,Teacher Education: Special Education,0701
070115,English as a Second Language Teaching,0701
070117,Nursing Education Teacher Training,0701
070199,"Teacher Education, n.e.c.",0701
070301,Curriculum Studies,0703
070303,Education Studies,0703
079999,"Education, n.e.c.",0799
080101,Accounting,0801
080301,Business Management,0803
080303,Human Resource Management,0803
080305,Personal Management Training,0803
080307,Organisation Management,0803
080309,Industrial Relations,0803
080311,International Business,0803
080313,Public and Health Care Administration,0803
080315,Project Management,0803
080317,Quality Management,0803
080319,Hospitality Management,0803
080321,Farm Management and Agribusiness,0803
080323,Tourism Management,0803
080399,"Business and Management, n.e.c.",0803
080501,Sales,0805
080503,Real Estate,0805
080505,Marketing,0805
080507,Advertising,0805
080509,Public Relations,0805
080599,"Sales and Marketing, n.e.c.",0805
080701,Tourism,0807
080901,Secretarial and Clerical Studies,0809
080903,Keyboard Skills,0809
080905,Practical Computing Skills,0809
080999,"Office Studies, n.e.c.",0809
081101,Banking and Finance,0811
081103,Insurance and Actuarial Studies,0811
081105,Investment and Securities,0811
081199,"Banking, Finance and Related Fields, n.e.c.",0811
089901,"Purchasing, Warehousing and Distribution",0899
089903,Valuation,0899
089999,"Management and Commerce, n.e.c.",0899
090101,Political Science,0901
090103,Policy Studies,0901
090301,Sociology,0903
090303,Anthropology,0903
090305,History,0903
090307,Archaeology,0903
090309,Human Geography,0903
090311,Indigenous Studies,0903
090313,Gender Specific Studies,0903
090399,"Studies in Human Society, n.e.c.",0903
090501,Social Work,0905
090503,Children's Services,0905
090505,Youth Work,0905
090507,Care for the Aged,0905
090509,Care for the Disabled,0905
090511,Residential Client Care,0905
090513,Counselling,0905
090515,Welfare Studies,0905
090599,"Human Welfare Studies and Services, n.e.c.",0905
090701,Psychology,0907
090799,"Behavioural Science, n.e.c.",0907
090901,Business and Commercial Law,0909
090903,Constitutional Law,0909
090905,Criminal Law,0909
090907,Family Law,0909
090909,International Law,0909
090911,Taxation Law,0909
090913,Legal Practice,0909
090999,"Law, n.e.c.",0909
091101,Justice Administration,0911
091103,Legal Studies,0911
091105,Police Studies,0911
091199,"Justice and Law Enforcement, n.e.c.",0911
091301,Librarianship and Information Management,0913
091303,Curatorial Studies,0913
091501,English Language,0915
091503,Northern European Languages,0915
091505,Southern European Languages,0915
091507,Eastern European Languages,0915
091509,Southwest Asian and North African Languages,0915
091511,Southern Asian Languages,0915
091513,Southeast Asian Languages,0915
091515,Eastern Asian Languages,0915
091517,Australian Indigenous Languages,0915
091519,Translating and Interpreting,0915
091521,Linguistics,0915
091523,Literature,0915
091599,"Language and Literature, n.e.c.",0915
091701,Philosophy,0917
091703,Religious Studies,0917
091901,Economics,0919
091903,Econometrics,0919
092101,Sport and Recreation Activities,0921
092103,"Sports Coaching, Officiating and Instruction",0921
092199,"Sport and Recreation, n.e.c.",0921
099901,Family and Consumer Studies,0999
099903,Criminology,0999
099905,Security Services,0999
099999,"Society and Culture, n.e.c.",0999
100101,Music,1001
100103,Drama and Theatre Studies,1001
100105,Dance,1001
100199,"Performing Arts, n.e.c.",1001
100301,Fine Arts,1003
100303,Photography,1003
100305,Crafts,1003
100307,Jewellery Making,1003
100309,Floristry,1003
